,0,1,2,3,4,5
161,"seoulnationaluniversity,kr-johnshopkinsuniversity,us	johnshopkinsuniversity,us-mokponationaluniversity,kr",,,,,
162,"universityofcambridge,uk-universityofmanchester,uk	universityofmanchester,uk-nationalgrapheneinstitute,uk","universityofmanchester,uk-nationalgrapheneinstitute,uk	nationalgrapheneinstitute,uk-mokponationaluniversity,kr",,,,
163,"gwangjuinstituteofscienceandtechnology,kr-lawrenceberkeleynationallaboratory,us	lawrenceberkeleynationallaboratory,us-daegugyeongbukinstituteofscienceandtechnology,kr","lawrenceberkeleynationallaboratory,us-daegugyeongbukinstituteofscienceandtechnology,kr	daegugyeongbukinstituteofscienceandtechnology,kr-mokponationaluniversity,kr",,,,
164,"koreaadvancedinstituteofscienceandtechnology,kr-koreainstituteofmachineryandmaterials,kr	koreainstituteofmachineryandmaterials,kr-mokponationaluniversity,kr",,,,,
165,"seoulnationaluniversity,kr-pohanguniversityofscienceandtechnology,kr	pohanguniversityofscienceandtechnology,kr-hanyanguniversity,kr",,,,,
166,"northwesternuniversity,us-cornelluniversity,us	cornelluniversity,us-westvirginiauniversity,us","cornelluniversity,us-westvirginiauniversity,us	westvirginiauniversity,us-seoulnationaluniversity,kr","westvirginiauniversity,us-seoulnationaluniversity,kr	seoulnationaluniversity,kr-yonseiuniversity,kr","seoulnationaluniversity,kr-yonseiuniversity,kr	yonseiuniversity,kr-ewhawomansuniversity,kr",,
167,"seoulnationaluniversity,kr-cityuniversityofnewyork,us	cityuniversityofnewyork,us-seoulnationaluniversity,kr","cityuniversityofnewyork,us-seoulnationaluniversity,kr	seoulnationaluniversity,kr-ewhawomansuniversity,kr",,,,
168,"louispasteuruniversity,fr-pohanguniversityofscienceandtechnology,kr	pohanguniversityofscienceandtechnology,kr-johnshopkinsuniversity,us","pohanguniversityofscienceandtechnology,kr-johnshopkinsuniversity,us	johnshopkinsuniversity,us-rutgersuniversity,us","johnshopkinsuniversity,us-rutgersuniversity,us	rutgersuniversity,us-ewhawomansuniversity,kr",,,
169,"brownuniversity,us-princetonuniversity,us	princetonuniversity,us-ewhawomansuniversity,kr",,,,,
170,"stanforduniversity,us-cornelluniversity,us	cornelluniversity,us-internationalcentrefortheoreticalphysics,it","cornelluniversity,us-internationalcentrefortheoreticalphysics,it	internationalcentrefortheoreticalphysics,it-ewhawomansuniversity,kr",,,,
171,"universityofillinoisaturbana-champaign,us-ibmwatsonresearchcenter,us	ibmwatsonresearchcenter,us-ewhawomansuniversity,kr",,,,,
172,"templeuniversity,us-templeuniversity,us	templeuniversity,us-seoulnationaluniversity,kr","templeuniversity,us-seoulnationaluniversity,kr	seoulnationaluniversity,kr-ewhawomansuniversity,kr",,,,
173,"seoulnationaluniversity,kr-universityofgothenburg,se	universityofgothenburg,se-konkukuniversity,kr",,,,,
174,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-universityofwashington,us","seoulnationaluniversity,kr-universityofwashington,us	universityofwashington,us-seoulnationaluniversity,kr","universityofwashington,us-seoulnationaluniversity,kr	seoulnationaluniversity,kr-sungkyunkwanuniversity,kr","seoulnationaluniversity,kr-sungkyunkwanuniversity,kr	sungkyunkwanuniversity,kr-pennsylvaniastateuniversity,us","sungkyunkwanuniversity,kr-pennsylvaniastateuniversity,us	pennsylvaniastateuniversity,us-seoulnationaluniversity,kr",
175,"seoulnationaluniversity,kr-stanforduniversity,us	stanforduniversity,us-stanforduniversity,us","stanforduniversity,us-stanforduniversity,us	stanforduniversity,us-ewhawomansuniversity,kr",,,,
176,"theohiostateuniversity,us-universityofmaryland,us	universityofmaryland,us-ibmalmadenresearchcenter,us","universityofmaryland,us-ibmalmadenresearchcenter,us	ibmalmadenresearchcenter,us-ewhawomansuniversity,kr",,,,
177,"universityofgottingen,de-ibmalmadenresearchcenter,us	ibmalmadenresearchcenter,us-ewhawomansuniversity,kr",,,,,
178,"polytechnicuniversityofmilan,it-polytechnicuniversityofmilan,it	polytechnicuniversityofmilan,it-ecolepolytechniquefederaledelausanne,ch","polytechnicuniversityofmilan,it-ecolepolytechniquefederaledelausanne,ch	ecolepolytechniquefederaledelausanne,ch-ewhawomansuniversity,kr","ecolepolytechniquefederaledelausanne,ch-ewhawomansuniversity,kr	ewhawomansuniversity,kr-ewhawomansuniversity,kr",,,
179,"koreauniversity,kr-ewhawomansuniversity,kr	ewhawomansuniversity,kr-koreainstituteofscienceandtechnology,kr","ewhawomansuniversity,kr-koreainstituteofscienceandtechnology,kr	koreainstituteofscienceandtechnology,kr-koreauniversity,kr","koreainstituteofscienceandtechnology,kr-koreauniversity,kr	koreauniversity,kr-ewhawomansuniversity,kr","koreauniversity,kr-ewhawomansuniversity,kr	ewhawomansuniversity,kr-gyeongsangnationaluniversity,kr",,
180,"koreainstituteofscienceandtechnology,kr-universityofcalifornia,us	universityofcalifornia,us-tohokuuniversity,jp",,,,,
181,"chalmersuniversityoftechnology,se-universityofgeneva,ch	universityofgeneva,ch-gyeongsangnationaluniversity,kr",,,,,
182,"koreauniversity,kr-koreauniversity,kr	koreauniversity,kr-kyungheeuniversity,kr","koreauniversity,kr-kyungheeuniversity,kr	kyungheeuniversity,kr-sungkyunkwanuniversity,kr","kyungheeuniversity,kr-sungkyunkwanuniversity,kr	sungkyunkwanuniversity,kr-gyeongsangnationaluniversity,kr",,,
183,"pohanguniversityofscienceandtechnology,kr-diamondlightsource,uk	diamondlightsource,uk-gyeongsangnationaluniversity,kr",,,,,
184,"koreainstituteofscienceandtechnology,kr-koreainstituteofscienceandtechnology,kr	koreainstituteofscienceandtechnology,kr-umeauniversity,se","koreainstituteofscienceandtechnology,kr-umeauniversity,se	umeauniversity,se-universityofoxford,uk","umeauniversity,se-universityofoxford,uk	universityofoxford,uk-sungkyunkwanuniversity,kr","universityofoxford,uk-sungkyunkwanuniversity,kr	sungkyunkwanuniversity,kr-gyeongnamnationaluniversityofscienceandtechnology,kr",,
185,"gwangjuinstituteofscienceandtechnology,kr-gwangjuinstituteofscienceandtechnology,kr	gwangjuinstituteofscienceandtechnology,kr-yaleuniversity,us","gwangjuinstituteofscienceandtechnology,kr-yaleuniversity,us	yaleuniversity,us-newyorkuniversity,us","yaleuniversity,us-newyorkuniversity,us	newyorkuniversity,us-gyeongsangnationaluniversity,kr","newyorkuniversity,us-gyeongsangnationaluniversity,kr	gyeongsangnationaluniversity,kr-gwangjuinstituteofscienceandtechnology,kr","gyeongsangnationaluniversity,kr-gwangjuinstituteofscienceandtechnology,kr	gwangjuinstituteofscienceandtechnology,kr-gyeongnamnationaluniversityofscienceandtechnology,kr",
186,"seoulnationaluniversity,kr-researchcenterforoxideelectronics,kr	researchcenterforoxideelectronics,kr-jeonbuknationaluniversity,kr",,,,,
187,"seoulnationaluniversity,kr-theuniversityoftexasataustin,us	theuniversityoftexasataustin,us-jeonbuknationaluniversity,kr",,,,,
188,"pohanguniversityofscienceandtechnology,kr-theuniversityoftokyo,jp	theuniversityoftokyo,jp-chlamersuniversityoftechnology,se","theuniversityoftokyo,jp-chlamersuniversityoftechnology,se	chlamersuniversityoftechnology,se-jeonbuknationaluniversity,kr",,,,
