,0,1,2,3,4,5
39,"georgiainstituteoftechnology,us-massachusettsinstituteoftechnology,us	massachusettsinstituteoftechnology,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
40,"universityofpennsylvania,us-malardalenuniversity,se	malardalenuniversity,se-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
41,"universityofillinoisaturbana-champaign,us-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-seoulnationaluniversity,kr","koreaadvancedinstituteofscienceandtechnology,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-universityofoxford,uk",,,,
42,"king'scollegelondon,uk-king'scollegelondon,uk	king'scollegelondon,uk-universitycollegelondon,uk","king'scollegelondon,uk-universitycollegelondon,uk	universitycollegelondon,uk-koreaadvancedinstituteofscienceandtechnology,kr",,,,
43,"universityofnorthcarolinaatchapelhill,us-lawrencelivermorenationallab,us	lawrencelivermorenationallab,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
44,"universityofcalifornia,us-universityofcalifornia,us	universityofcalifornia,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
45,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-universityofillinoisaturbana-champaign,us","koreaadvancedinstituteofscienceandtechnology,kr-universityofillinoisaturbana-champaign,us	universityofillinoisaturbana-champaign,us-ibm,us","universityofillinoisaturbana-champaign,us-ibm,us	ibm,us-koreaadvancedinstituteofscienceandtechnology,kr",,,
46,"massachusettsinstituteoftechnology,us-massachusettsinstituteoftechnology,us	massachusettsinstituteoftechnology,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
47,"paderbornuniversity,de-paderbornuniversity,de	paderbornuniversity,de-darmstadtuniversityoftechnology,de",,,,,
48,"koreaadvancedinstituteofscienceandtechnology,kr-maxplanckinstituteforsoftwaresystems,de	maxplanckinstituteforsoftwaresystems,de-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
49,"theuniversityoftexasataustin,us-simonslaufermathematicalsciencesinstitute,us	simonslaufermathematicalsciencesinstitute,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
50,"impericalcollegelondon,uk-impericalcollegelondon,uk	impericalcollegelondon,uk-koreaaerospaceuniversity,kr",,,,,
51,"seoulnationaluniversity,kr-universityofpennsylvania,us	universityofpennsylvania,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
52,"pohanguniversityofscienceandtechnology,kr-universityofmichigan,us	universityofmichigan,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
53,"yonseiuniversity,kr-yonseiuniversity,kr	yonseiuniversity,kr-koreaaerospaceuniversity,kr",,,,,
54,"seoulnationaluniversity,kr-kingscollegelondon,uk	kingscollegelondon,uk-koreaaerospaceuniversity,kr",,,,,
55,"koreauniversity,kr-theuniversityofarizona,us	theuniversityofarizona,us-kyungdonguniversity,kr",,,,,
56,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-konkukuniversity,kr",,,,,
57,"universityofpennsylvania,us-universityofpennsylvania,us	universityofpennsylvania,us-konkukuniversity,kr",,,,,
58,"ewhawomansuniversity,kr-universityofcentralflorida,us	universityofcentralflorida,us-konkukuniversity,kr",,,,,
59,"koreaadvancedinstituteofscienceandtechnology,kr-massachusettsinstituteoftechnology,us	massachusettsinstituteoftechnology,us-koreaadvancedinstituteofscienceandtechnology,kr","massachusettsinstituteoftechnology,us-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-konkukuniversity,kr",,,,
60,"koreaadvancedinstituteofscienceandtechnology,kr-universityofgeneva,ch	universityofgeneva,ch-konkukuniversity,kr",,,,,
61,"koreauniversity,kr-theohiostateuniversity,us	theohiostateuniversity,us-konkukuniversity,kr",,,,,
62,"seoulnationaluniversity,kr-ewhawomansuniversity,kr	ewhawomansuniversity,kr-sungkyunkwanuniversity,kr",,,,,
63,"theuniversityoftexasatdallas,us-theuniversityoftexasatarlington,us	theuniversityoftexasatarlington,us-sungkyunkwanuniversity,kr",,,,,
64,"pohanguniversityofscienceandtechnology,kr-maxplanckinstitute,de	maxplanckinstitute,de-sungkyunkwanuniversity,kr",,,,,
65,"koreaadvancedinstituteofscienceandtechnology,kr-pennsylvaniastateuniversity,us	pennsylvaniastateuniversity,us-ulsannationalinstituteofscienceandtechnology,kr",,,,,
66,"universityofcambridge,uk-universityofbritishcolumbia,ca	universityofbritishcolumbia,ca-sungkyunkwanuniversity,kr",,,,,
67,"pohanguniversityofscienceandtechnology,kr-pohanguniversityofscienceandtechnology,kr	pohanguniversityofscienceandtechnology,kr-pennsylvaniastateuniversity,us","pohanguniversityofscienceandtechnology,kr-pennsylvaniastateuniversity,us	pennsylvaniastateuniversity,us-hankukuniversityofforeignstudies,kr",,,,
68,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-sungkyunkwanuniversity,kr",,,,,
69,"pennsylvaniastateuniversity,us-louisianastateuniversity,us	louisianastateuniversity,us-hanyanguniversity,kr",,,,,
70,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-sungkyunkwanuniversity,kr",,,,,
71,"koreaadvancedinstituteofscienceandtechnology,kr-cyberintelligencesharingandprotectionact,us	cyberintelligencesharingandprotectionact,us-sungkyunkwanuniversity,kr",,,,,
72,"koreaadvancedinstituteofscienceandtechnology,kr-sungkyunkwanuniversity,kr	sungkyunkwanuniversity,kr-sungkyunkwanuniversity,kr",,,,,
73,"thestateuniversityofnewyorkatstonybrook,us-georgiainstituteoftechnology,us	georgiainstituteoftechnology,us-sungkyunkwanuniversity,kr",,,,,
74,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-universityofcalifornia,us","seoulnationaluniversity,kr-universityofcalifornia,us	universityofcalifornia,us-hanyanguniversity,kr",,,,
75,"universityofcalifornia,us-universityofcalifornia,us	universityofcalifornia,us-ewhawomansuniversity,kr",,,,,
76,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-ewhawomansuniversity,kr",,,,,
77,"purdueuniversity,us-universityofnorthcarolinaatchapelhill,us	universityofnorthcarolinaatchapelhill,us-ewhawomansuniversity,kr",,,,,
78,"yonseiuniversity,kr-mitsubishielectricresearchlaboratory,us	mitsubishielectricresearchlaboratory,us-chungnamnationaluniversity,kr",,,,,
79,"universityofmaryland,us-carnegiemellonuniversity,us	carnegiemellonuniversity,us-ewhawomansuniversity,kr",,,,,
80,"ewhawomansuniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-ewhawomansuniversity,kr","seoulnationaluniversity,kr-ewhawomansuniversity,kr	ewhawomansuniversity,kr-sungkyunkwanuniversity,kr","ewhawomansuniversity,kr-sungkyunkwanuniversity,kr	sungkyunkwanuniversity,kr-ewhawomansuniversity,kr",,,
81,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-carnegiemellonuniversity,us","seoulnationaluniversity,kr-carnegiemellonuniversity,us	carnegiemellonuniversity,us-hanyanguniversity,kr",,,,
82,"seoulnationaluniversity,kr-maxplanckinstituteforinformatics,de	maxplanckinstituteforinformatics,de-hanyanguniversity,kr",,,,,
83,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-hanyanguniversity,kr",,,,,
84,"seoulnationaluniversity,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-seoulnationaluniversity,kr","koreaadvancedinstituteofscienceandtechnology,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-hanyanguniversity,kr",,,,
85,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-hanyanguniversity,kr",,,,,
86,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-ewhawomansuniversity,kr","seoulnationaluniversity,kr-ewhawomansuniversity,kr	ewhawomansuniversity,kr-hanyanguniversity,kr",,,,
87,"stanforduniversity,us-seoulnationaluniversity,kr	seoulnationaluniversity,kr-universityofseoul,kr",,,,,
88,"universityofflorida,us-universityofflorida,us	universityofflorida,us-hanyanguniversity,kr",,,,,
89,"seoulnationaluniversity,kr-theuniversityofsydney,at	theuniversityofsydney,at-hanyanguniversity,kr",,,,,
90,"hanyanguniversity,kr-georgiainstituteoftechnology,us	georgiainstituteoftechnology,us-hanyanguniversity,kr",,,,,
91,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-chonnamnationaluniversity,kr",,,,,
92,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-universityofcalifornia,us","seoulnationaluniversity,kr-universityofcalifornia,us	universityofcalifornia,us-chonnamnationaluniversity,kr",,,,
93,"chonnamnationaluniversity,kr-universityofcalifornia,us	universityofcalifornia,us-chonnamnationaluniversity,kr",,,,,
94,"koreauniversity,kr-rwthaachenuniversity,de	rwthaachenuniversity,de-hallymuniversity,kr",,,,,
95,"hongikuniversity,kr-hanyanguniversity,kr	hanyanguniversity,kr-seoulnationaluniversity,kr","hanyanguniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-hallymuniversity,kr",,,,
96,"gwangjuinstituteofscienceandtechnology,kr-universityofcambridge,uk	universityofcambridge,uk-gwangjuinstituteofscienceandtechnology,kr","universityofcambridge,uk-gwangjuinstituteofscienceandtechnology,kr	gwangjuinstituteofscienceandtechnology,kr-hallymuniversity,kr",,,,
97,"koreauniversity,kr-purdueuniversity,us	purdueuniversity,us-universityofcalifornia,us","purdueuniversity,us-universityofcalifornia,us	universityofcalifornia,us-gyeonggiuniversityofscienceandtechnology,kr",,,,
98,"koreaadvancedinstituteofscienceandtechnology,kr-swissfederalinstituteoftechnology,ch	swissfederalinstituteoftechnology,ch-hallymuniversity,kr",,,,,
99,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-hankukuniversityofforeignstudies,kr",,,,,
100,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-hankukuniversityofforeignstudies,kr",,,,,
101,"seoulnationaluniversity,kr-pusannationaluniversity,kr	pusannationaluniversity,kr-hankukuniversityofforeignstudies,kr",,,,,
102,"koreaadvancedinstituteofscienceandtechnology,kr-universityofcalifornia,us	universityofcalifornia,us-hankukuniversityofforeignstudies,kr",,,,,
