,0,1,2,3,4,5
30,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-universityofcalifornia,us","seoulnationaluniversity,kr-universityofcalifornia,us	universityofcalifornia,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,
31,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-columbiauniversityinthecityofnewyork,us","koreaadvancedinstituteofscienceandtechnology,kr-columbiauniversityinthecityofnewyork,us	columbiauniversityinthecityofnewyork,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,
32,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-northwesternuniversity,us","koreaadvancedinstituteofscienceandtechnology,kr-northwesternuniversity,us	northwesternuniversity,us-ulsannationalinstituteofscienceandtechnology,kr",,,,
33,"koreaadvancedinstituteofscienceandtechnology,kr-pohanguniversityofscienceandtechnology,kr	pohanguniversityofscienceandtechnology,kr-massachusettsinstituteoftechnology,us","pohanguniversityofscienceandtechnology,kr-massachusettsinstituteoftechnology,us	massachusettsinstituteoftechnology,us-gwangjuinstituteofscienceandtechnology,kr",,,,
34,"universityofcalifornia,us-universityofcalifornia,us	universityofcalifornia,us-theuniversityofarizona,us","universityofcalifornia,us-theuniversityofarizona,us	theuniversityofarizona,us-theuniversityofarizona,us","theuniversityofarizona,us-theuniversityofarizona,us	theuniversityofarizona,us-ajouuniversity,kr",,,
35,"universityofcalifornia,us-stanforduniversity,us	stanforduniversity,us-stanforduniversity,us","stanforduniversity,us-stanforduniversity,us	stanforduniversity,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,
36,"koreaadvancedinstituteofscienceandtechnology,kr-ludwigcancerresearch,us	ludwigcancerresearch,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
37,"koreaadvancedinstituteofscienceandtechnology,kr-harvarduniversity,us	harvarduniversity,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
38,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-universityofcalifornia,us","seoulnationaluniversity,kr-universityofcalifornia,us	universityofcalifornia,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,
39,"pohanguniversityofscienceandtechnology,kr-pohanguniversityofscienceandtechnology,kr	pohanguniversityofscienceandtechnology,kr-massachusettsinstituteoftechnology,us","pohanguniversityofscienceandtechnology,kr-massachusettsinstituteoftechnology,us	massachusettsinstituteoftechnology,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,
40,"gyeongsangnationaluniversity,kr-gyeongsangnationaluniversity,kr	gyeongsangnationaluniversity,kr-dukeuniversity,us","gyeongsangnationaluniversity,kr-dukeuniversity,us	dukeuniversity,us-stanforduniversity,us","dukeuniversity,us-stanforduniversity,us	stanforduniversity,us-koreaadvancedinstituteofscienceandtechnology,kr",,,
41,"seoulnationaluniversity,kr-nationalhorticulturalresearchinstitute,ng	nationalhorticulturalresearchinstitute,ng-universityofcalifornia,us","nationalhorticulturalresearchinstitute,ng-universityofcalifornia,us	universityofcalifornia,us-myongjiuniversity,kr",,,,
42,"universityofoxford,uk-universityofmassachusettsamherst,us	universityofmassachusettsamherst,us-myongjiuniversity,kr",,,,,
43,"seoulnationaluniversity,kr-myongjiuniversity,kr	myongjiuniversity,kr-universityofcalifornia,us","myongjiuniversity,kr-universityofcalifornia,us	universityofcalifornia,us-universityofwisconsin-madison,us","universityofcalifornia,us-universityofwisconsin-madison,us	universityofwisconsin-madison,us-theuniversityoftexasataustin,us","universityofwisconsin-madison,us-theuniversityoftexasataustin,us	theuniversityoftexasataustin,us-myongjiuniversity,kr","theuniversityoftexasataustin,us-myongjiuniversity,kr	myongjiuniversity,kr-myongjiuniversity,kr",
44,"seoulnationaluniversity,kr-iowastateuniversity,us	iowastateuniversity,us-myongjiuniversity,kr","iowastateuniversity,us-myongjiuniversity,kr	myongjiuniversity,kr-myongjiuniversity,kr",,,,
45,"seoulnationaluniversity,kr-washingtonstateuniversity,us	washingtonstateuniversity,us-myongjiuniversity,kr",,,,,
46,"seoulnationaluniversity,kr-universityofwisconsin-madison,us	universityofwisconsin-madison,us-u1university,kr",,,,,
47,"koreauniversity,kr-koreauniversity,kr	koreauniversity,kr-scottishcropresearchinstitute,gb","koreauniversity,kr-scottishcropresearchinstitute,gb	scottishcropresearchinstitute,gb-myongjiuniversity,kr",,,,
48,"theohiostateuniversity,us-theohiostateuniversity,us	theohiostateuniversity,us-myongjiuniversity,kr",,,,,
49,"seoulnationaluniversity,kr-universityofgeorgia,us	universityofgeorgia,us-myongjiuniversity,kr",,,,,
50,"theohiostateuniversity,us-ucberkeleyandusdaplantgeneexpressioncenter,us	ucberkeleyandusdaplantgeneexpressioncenter,us-sookmyungwomen'suniversity,kr",,,,,
51,"universityofmichigan,us-bristolmyerssquibb,kr	bristolmyerssquibb,kr-hallymuniversity,kr",,,,,
52,"yonseiuniversity,kr-ewhawomansuniversity,kr	ewhawomansuniversity,kr-sookmyungwomen'suniversity,kr",,,,,
53,"universityofmedicineanddentistryofnewjersey,us-arqule,us	arqule,us-sookmyungwomen'suniversity,kr",,,,,
54,"seoulnationaluniversity,kr-universityofsandiego,us	universityofsandiego,us-thescrippsresearchinstitute,us","universityofsandiego,us-thescrippsresearchinstitute,us	thescrippsresearchinstitute,us-sookmyungwomen'suniversity,kr",,,,
55,"universityofillinoisatchicago,us-northwesternuniversity,us	northwesternuniversity,us-universityofillinoisatchicago,us","northwesternuniversity,us-universityofillinoisatchicago,us	universityofillinoisatchicago,us-universityofillinoisatchicago,us","universityofillinoisatchicago,us-universityofillinoisatchicago,us	universityofillinoisatchicago,us-sookmyungwomen'suniversity,kr",,,
56,"dankookuniversity,kr-yaleuniversity,us	yaleuniversity,us-sookmyungwomen'suniversity,kr",,,,,
57,"theuniversityoftexasataustin,us-therockefelleruniversity,us	therockefelleruniversity,us-sookmyungwomen'suniversity,kr",,,,,
58,"sookmyungwomen'suniversity,kr-nationalinstituteofneurologicaldisorderandstroke,us	nationalinstituteofneurologicaldisorderandstroke,us-sookmyungwomen'suniversity,kr",,,,,
59,"northcarolinastateuniversity,us-chonnamnationaluniversity,kr	chonnamnationaluniversity,kr-sookmyungwomen'suniversity,kr",,,,,
60,"kyungheeuniversity,kr-vanderbiltuniversity,us	vanderbiltuniversity,us-yonseiuniversity,kr","vanderbiltuniversity,us-yonseiuniversity,kr	yonseiuniversity,kr-sookmyungwomen'suniversity,kr",,,,
61,"auburnuniversity,us-pukyongnationaluniversity,kr	pukyongnationaluniversity,kr-koreamaritimeandoceanuniversity,kr",,,,,
62,"pusannationaluniversity,kr-nationalfoodresearchinstitutes,jp	nationalfoodresearchinstitutes,jp-nationalinstitutesofhealth,us","nationalfoodresearchinstitutes,jp-nationalinstitutesofhealth,us	nationalinstitutesofhealth,us-koreamaritimeandoceanuniversity,kr",,,,
63,"tokyouniversityofmarinescienceandtechnology,jp-universityofcalgary,ca	universityofcalgary,ca-nationalinstitutesofhealth,us","universityofcalgary,ca-nationalinstitutesofhealth,us	nationalinstitutesofhealth,us-koreamaritimeandoceanuniversity,kr",,,,
64,"eastcarolinauniversity,us-washingtonuniversityinst.louis,us	washingtonuniversityinst.louis,us-koreamaritimeandoceanuniversity,kr",,,,,
65,"theuniversityoftokyo,jp-theuniversityoftokyo,jp	theuniversityoftokyo,jp-koreamaritimeandoceanuniversity,kr",,,,,
66,"koreauniversity,kr-texasstateuniversity,us	texasstateuniversity,us-yeungnamuniversity,kr","texasstateuniversity,us-yeungnamuniversity,kr	yeungnamuniversity,kr-yeungnamuniversity,kr",,,,
67,"theuniversityoftennessee,us-theuniversityoftennessee,us	theuniversityoftennessee,us-yeungnamuniversity,kr",,,,,
68,"seoulnationaluniversity,kr-meharrymedicalcollege,us	meharrymedicalcollege,us-johnshopkinsuniversity,us","meharrymedicalcollege,us-johnshopkinsuniversity,us	johnshopkinsuniversity,us-universityoftoronto,ca","johnshopkinsuniversity,us-universityoftoronto,ca	universityoftoronto,ca-universityofwesternontario,ca","universityoftoronto,ca-universityofwesternontario,ca	universityofwesternontario,ca-yeungnamuniversity,kr",,
69,"kyungpooknationaluniversity,kr-universityofmissouri,us	universityofmissouri,us-yeungnamuniversity,kr",,,,,
70,"pohanguniversityofscienceandtechnology,kr-cornelluniversity,us	cornelluniversity,us-yeungnamuniversity,kr",,,,,
71,"ewhawomansuniversity,kr-ewhawomansuniversity,kr	ewhawomansuniversity,kr-woosukuniversity,kr",,,,,
72,"tuftsuniversity,us-koreauniversity,kr	koreauniversity,kr-hyupsunguniversity,kr",,,,,
73,"koreauniversity,kr-koreauniversity,kr	koreauniversity,kr-hyupsunguniversity,kr",,,,,
74,"koreauniversity,kr-koreauniversity,kr	koreauniversity,kr-hyupsunguniversity,kr",,,,,
75,"yonseiuniversity,kr-maxplanckinstituteforplantbreedingresearch,de	maxplanckinstituteforplantbreedingresearch,de-dankookuniversity,kr",,,,,
76,"thecatholicuniversityofkorea,kr-koreasciencefoundationshinjinresearchinstitute,kr	koreasciencefoundationshinjinresearchinstitute,kr-johnshopkinsuniversity,us","koreasciencefoundationshinjinresearchinstitute,kr-johnshopkinsuniversity,us	johnshopkinsuniversity,us-sejonguniversity,kr","johnshopkinsuniversity,us-sejonguniversity,kr	sejonguniversity,kr-dankookuniversity,kr",,,
77,"yonseiuniversity,kr-universityoffreiburg,de	universityoffreiburg,de-technicaluniversityofmunich,de","universityoffreiburg,de-technicaluniversityofmunich,de	technicaluniversityofmunich,de-dankookuniversity,kr",,,,
78,"seoulnationaluniversity,kr-samsungbiomedicalresearchinstitute,kr	samsungbiomedicalresearchinstitute,kr-dukeuniversity,us","samsungbiomedicalresearchinstitute,kr-dukeuniversity,us	dukeuniversity,us-gachonuniversity,kr",,,,
79,"dankookuniversity,kr-wellcomesangerinstitute,uk	wellcomesangerinstitute,uk-dankookuniversity,kr",,,,,
80,"theohiostateuniversity,us-seoulnationaluniversity,kr	seoulnationaluniversity,kr-dankookuniversity,kr",,,,,
81,"dankookuniversity,kr-cancdianmuseumofnature,ca	cancdianmuseumofnature,ca-dankookuniversity,kr",,,,,
82,"theuniversityoftennessee,us-universityofalabamaatbirmingham,us	universityofalabamaatbirmingham,us-sunghyunkwanuniversity,kr","universityofalabamaatbirmingham,us-sunghyunkwanuniversity,kr	sunghyunkwanuniversity,kr-dankookuniversity,kr",,,,
83,"purdueuniversity,us-purdueuniversity,us	purdueuniversity,us-dankookuniversity,kr",,,,,
84,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-nationalinstitutesofhealth,us","koreaadvancedinstituteofscienceandtechnology,kr-nationalinstitutesofhealth,us	nationalinstitutesofhealth,us-dankookuniversity,kr",,,,
85,"universityofbritishcolumbia,ca-universityofbritishcolumbia,ca	universityofbritishcolumbia,ca-dankookuniversity,kr",,,,,
86,"louisianastateuniversity,us-louisianastateuniversity,us	louisianastateuniversity,us-theuniversityoftexasataustin,us","louisianastateuniversity,us-theuniversityoftexasataustin,us	theuniversityoftexasataustin,us-dankookuniversity,kr",,,,
87,"seoulnationaluniversity,kr-medicalcollegeofwisconsin,us	medicalcollegeofwisconsin,us-handongglobaluniversity,kr",,,,,
88,"seoulnationaluniversity,kr-universityofcalifornia,us	universityofcalifornia,us-salkinstituteforbiologicalstudies,us","universityofcalifornia,us-salkinstituteforbiologicalstudies,us	salkinstituteforbiologicalstudies,us-harvarduniversity,us","salkinstituteforbiologicalstudies,us-harvarduniversity,us	harvarduniversity,us-handongglobaluniversity,kr",,,
89,"koreaadvancedinstituteofscienceandtechnology,kr-theuniversityoftokyo,jp	theuniversityoftokyo,jp-handongglobaluniversity,kr",,,,,
90,"theuniversityoftokyo,jp-nihonshokuhinkako,jp	nihonshokuhinkako,jp-handongglobaluniversity,kr",,,,,
91,"weizmanninstituteofscience,il-stanforduniversity,us	stanforduniversity,us-handongglobaluniversity,kr",,,,,
92,"theuniversityoftokyo,jp-universityofrhodeisland,us	universityofrhodeisland,us-handongglobaluniversity,kr",,,,,
93,"yonseiuniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-korearesearchinstituteofbioscienceandbiotechnology,kr","seoulnationaluniversity,kr-korearesearchinstituteofbioscienceandbiotechnology,kr	korearesearchinstituteofbioscienceandbiotechnology,kr-mokwonuniversity,kr",,,,
94,"seoulnationaluniversity,kr-chungnamnationaluniversity,kr	chungnamnationaluniversity,kr-minnesotastateuniversity,us","chungnamnationaluniversity,kr-minnesotastateuniversity,us	minnesotastateuniversity,us-seoulnationaluniversity,kr","minnesotastateuniversity,us-seoulnationaluniversity,kr	seoulnationaluniversity,kr-mokwonuniversity,kr",,,
95,"chungnamnationaluniversity,kr-mokwonuniversity,kr	mokwonuniversity,kr-mokwonuniversity,kr",,,,,
96,"hanyanguniversity,kr-universityofnevada,us	universityofnevada,us-mokwonuniversity,kr",,,,,
97,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-harvarduniversity,us","seoulnationaluniversity,kr-harvarduniversity,us	harvarduniversity,us-mokwonuniversity,kr",,,,
98,"universityofcalifornia,us-universityofcalifornia,us	universityofcalifornia,us-researchinstituteofmolecularpathology,at","universityofcalifornia,us-researchinstituteofmolecularpathology,at	researchinstituteofmolecularpathology,at-gwangjuinstituteofscienceandtechnology,kr",,,,
99,"seoulnationaluniversity,kr-nationalinstitutesofhealth,us	nationalinstitutesofhealth,us-gwangjuinstituteofscienceandtechnology,kr",,,,,
100,"universityofvirginia,us-universityofvirginia,us	universityofvirginia,us-gwangjuinstituteofscienceandtechnology,kr",,,,,
101,"universityofvirginia,us-universityofvirginia,us	universityofvirginia,us-johnshopkinsuniversity,us","universityofvirginia,us-johnshopkinsuniversity,us	johnshopkinsuniversity,us-gwangjuinstituteofscienceandtechnology,kr",,,,
102,"texasa&muniversity,us-thescrippsresearchinstitute,us	thescrippsresearchinstitute,us-gwangjuinstituteofscienceandtechnology,kr",,,,,
103,"pohanguniversityofscienceandtechnology,kr-pohanguniversityofscienceandtechnology,kr	pohanguniversityofscienceandtechnology,kr-universityofpennsylvania,us","pohanguniversityofscienceandtechnology,kr-universityofpennsylvania,us	universityofpennsylvania,us-gwangjuinstituteofscienceandtechnology,kr",,,,
104,"brandeisuniversity,us-harvarduniversity,us	harvarduniversity,us-gwangjuinstituteofscienceandtechnology,kr",,,,,
105,"johnshopkinsuniversity,us-johnshopkinsuniversity,us	johnshopkinsuniversity,us-universityofcalifornia,us","johnshopkinsuniversity,us-universityofcalifornia,us	universityofcalifornia,us-salkinstituteforbiologicalstudies,us","universityofcalifornia,us-salkinstituteforbiologicalstudies,us	salkinstituteforbiologicalstudies,us-gwangjuinstituteofscienceandtechnology,kr",,,
106,"koreaadvancedinstituteofscienceandtechnology,kr-universityofmassachusettsmedicalschool,us	universityofmassachusettsmedicalschool,us-gwangjuinstituteofscienceandtechnology,kr",,,,,
107,"seoulnationaluniversity,kr-yaleuniversity,us	yaleuniversity,us-gwangjuinstituteofscienceandtechnology,kr",,,,,
108,"koreaadvancedinstituteofscienceandtechnology,kr-chalmersuniversityoftechnology,se	chalmersuniversityoftechnology,se-kthroyalinstituteoftechnology,se","chalmersuniversityoftechnology,se-kthroyalinstituteoftechnology,se	kthroyalinstituteoftechnology,se-gwangjuinstituteofscienceandtechnology,kr",,,,
109,"dartmouthcollege,us-universityofcalifornia,us	universityofcalifornia,us-seoulnationaluniversity,kr","universityofcalifornia,us-seoulnationaluniversity,kr	seoulnationaluniversity,kr-gwangjuinstituteofscienceandtechnology,kr",,,,
110,"universityofmassachusettsamherst,us-harvarduniversity,us	harvarduniversity,us-kyungpooknationaluniversity,kr",,,,,
111,"universityofconnecticut,us-universityofcalifornia,us	universityofcalifornia,us-nationalinstitutesofhealth,us","universityofcalifornia,us-nationalinstitutesofhealth,us	nationalinstitutesofhealth,us-gwangjuinstituteofscienceandtechnology,kr",,,,
112,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-purdueuniversity,us","koreaadvancedinstituteofscienceandtechnology,kr-purdueuniversity,us	purdueuniversity,us-gwangjuinstituteofscienceandtechnology,kr",,,,
113,"universityofmichigan,us-universityofmichigan,us	universityofmichigan,us-universityofcalifornia,us","universityofmichigan,us-universityofcalifornia,us	universityofcalifornia,us-universityofnorthcarolinaatchapelhill,us",,,,
114,"universityoftexassouthwesternmedicalcenter,us-universityoftexassouthwesternmedicalcenter,us	universityoftexassouthwesternmedicalcenter,us-universityoftexassouthwesternmedicalcenter,us","universityoftexassouthwesternmedicalcenter,us-universityoftexassouthwesternmedicalcenter,us	universityoftexassouthwesternmedicalcenter,us-gwangjuinstituteofscienceandtechnology,kr",,,,
115,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-universityofcambridge,uk","seoulnationaluniversity,kr-universityofcambridge,uk	universityofcambridge,uk-gwangjuinstituteofscienceandtechnology,kr",,,,
116,"theuniversityoftennessee,us-harvarduniversity,us	harvarduniversity,us-kyungpooknationaluniversity,kr",,,,,
117,"universityofvienna,at-kyungpooknationaluniversity,kr	kyungpooknationaluniversity,kr-kyungpooknationaluniversity,kr",,,,,
118,"kyungpooknationaluniversity,kr-universityofdayton,us	universityofdayton,us-kyungpooknationaluniversity,kr","universityofdayton,us-kyungpooknationaluniversity,kr	kyungpooknationaluniversity,kr-kyungpooknationaluniversity,kr",,,,
119,"texasa&muniversity,us-texasa&muniversity,us	texasa&muniversity,us-harvarduniversity,us","texasa&muniversity,us-harvarduniversity,us	harvarduniversity,us-universityofwisconsin-madison,us","harvarduniversity,us-universityofwisconsin-madison,us	universityofwisconsin-madison,us-kyungpooknationaluniversity,kr","universityofwisconsin-madison,us-kyungpooknationaluniversity,kr	kyungpooknationaluniversity,kr-kyungpooknationaluniversity,kr",,
120,"universityofliverpool,uk-universityofliverpool,uk	universityofliverpool,uk-universityofthewitwatersrand,za","universityofliverpool,uk-universityofthewitwatersrand,za	universityofthewitwatersrand,za-kyungpooknationaluniversity,kr",,,,
121,"pohanguniversityofscienceandtechnology,kr-pohanguniversityofscienceandtechnology,kr	pohanguniversityofscienceandtechnology,kr-spanishnationalcancerresearchcentre,es","pohanguniversityofscienceandtechnology,kr-spanishnationalcancerresearchcentre,es	spanishnationalcancerresearchcentre,es-korearesearchinstituteofbioscienceandbiotechnology,kr","spanishnationalcancerresearchcentre,es-korearesearchinstituteofbioscienceandbiotechnology,kr	korearesearchinstituteofbioscienceandbiotechnology,kr-kyungpooknationaluniversity,kr",,,
122,"seoulnationaluniversity,kr-utahstateuniversity,us	utahstateuniversity,us-daejeonuniversity,kr",,,,,
123,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-daejeonuniversity,kr",,,,,
124,"chungnamnationaluniversity,kr-middletennesseestateuniversity,us	middletennesseestateuniversity,us-daejeonuniversity,kr",,,,,
125,"universityofcalifornia,us-dukeuniversity,us	dukeuniversity,us-daejeonuniversity,kr",,,,,
126,"yonseiuniversity,kr-theuniversityofoklahoma,us	theuniversityofoklahoma,us-daejeonuniversity,kr",,,,,
127,"koreauniversity,kr-michiganstateuniversity,us	michiganstateuniversity,us-daejeonuniversity,kr",,,,,
128,"ohiouniversity,us-universityofrochester,us	universityofrochester,us-theuniversityoftexashealthsciencecenteratsanantonio,us","universityofrochester,us-theuniversityoftexashealthsciencecenteratsanantonio,us	theuniversityoftexashealthsciencecenteratsanantonio,us-pusannationaluniversity,kr",,,,
129,"washingtonstateuniversity,us-washingtonstateuniversity,us	washingtonstateuniversity,us-koreauniversity,kr","washingtonstateuniversity,us-koreauniversity,kr	koreauniversity,kr-pusannationaluniversity,kr",,,,
130,"theuniversityoftexasataustin,us-theuniversityoftexasataustin,us	theuniversityoftexasataustin,us-pusannationaluniversity,kr",,,,,
131,"universityofflorida,us-dukeuniversity,us	dukeuniversity,us-dukeuniversity,us",,,,,
132,"theuniversityofarizona,us-universityofwisconsin-madison,us	universityofwisconsin-madison,us-pusannationaluniversity,kr",,,,,
133,"eastcarolinauniversity,us-massachusettsinstituteoftechnology,us	massachusettsinstituteoftechnology,us-pusannationaluniversity,kr",,,,,
134,"universityofillinoisaturbana-champaign,us-universityofillinoisaturbana-champaign,us	universityofillinoisaturbana-champaign,us-universityofwashington,us","universityofillinoisaturbana-champaign,us-universityofwashington,us	universityofwashington,us-pusannationaluniversity,kr",,,,
135,"seoulnationaluniversity,kr-mdandersoncancercenter,us	mdandersoncancercenter,us-pusannationaluniversity,kr",,,,,
136,"universityofkentucky,us-universityofkentucky,us	universityofkentucky,us-koreaatomicenergyresearchinstitute,kr","universityofkentucky,us-koreaatomicenergyresearchinstitute,kr	koreaatomicenergyresearchinstitute,kr-korearesearchinstituteofbioscienceandbiotechnology,kr","koreaatomicenergyresearchinstitute,kr-korearesearchinstituteofbioscienceandbiotechnology,kr	korearesearchinstituteofbioscienceandbiotechnology,kr-pusannationaluniversity,kr",,,
137,"theuniversityoftexasataustin,us-theuniversityoftexasataustin,us	theuniversityoftexasataustin,us-pusannationaluniversity,kr",,,,,
